CustomerID,Recency,Frequency,Monetary,RFM_Score,RFM_Segment,Segment,PC1,PC2,PC3,LD1,LD2,KMeans_Cluster,DBSCAN_Cluster,Hierarchical_Cluster,Cluster_Label
12347.0,2,7,3314.73,12,444,Champions,2.106079845127052,0.1633853883070312,-0.2871108325278919,3.411478661550915,0.1118425653047695,3,0,0,Champions
12348.0,249,3,90.2,5,131,At Risk,-1.526626666025385,0.899529998350145,1.048209394607002,-2.690870059088502,-2.388169265198847,2,0,2,Lost Customers
12349.0,19,1,999.15,7,313,Loyal Customers,0.1378994243661028,-0.729714224281964,-1.1118402681079824,0.3842545215832986,2.340530633514555,1,0,3,Loyal Customers
12350.0,310,1,294.40000000000003,4,112,Lost Customers,-1.8985368610917777,1.4388329273221132,-0.341774339107153,-3.405792180737157,-1.100065025259006,2,0,2,Lost Customers
12352.0,36,7,1130.94,10,343,Champions,1.4102949783030423,0.1388323032903358,0.3247324880059956,2.2757592586298805,-0.661490906500457,1,0,0,Loyal Customers
12353.0,204,1,29.300000000000004,3,111,Lost Customers,-2.4932989296995163,-0.1623963094545584,0.9011621167547624,-4.047925869079029,-0.9308029221438926,2,2,2,Lost Customers
12354.0,232,1,682.69,5,113,At Risk,-1.1010962144931515,1.01029315588609,-0.8349544745228468,-2.009152789175188,0.0262097801014174,2,0,2,Lost Customers
12355.0,214,1,219.0,4,112,Lost Customers,-1.569054051796811,0.5156352972294816,-0.205618817040272,-2.673540189624477,-0.2426706295304023,2,0,2,Lost Customers
12356.0,246,2,1086.56,6,123,At Risk,-0.5633471436319677,1.4704723381070794,-0.6516567884875091,-1.22728369478301,-0.7730169632142815,2,0,1,Lost Customers
12357.0,33,1,3315.41,8,314,Loyal Customers,0.6574685873812969,-0.2505274108159056,-1.7786826497921246,1.1364831059909155,2.675860686081682,1,0,1,Loyal Customers
12358.0,2,2,878.22,9,423,Loyal Customers,0.5375169871276665,-0.7160828168521457,-0.6058575627572976,1.0325209562438695,1.6198473992372455,1,0,1,Loyal Customers
12359.0,58,4,3224.13,9,234,Loyal Customers,1.3765982836064103,0.4106027904679563,-0.7636041489562387,2.168758743864361,0.5081704139291332,1,0,0,Loyal Customers
12360.0,52,3,1843.16,9,234,Loyal Customers,0.9231820706612142,0.0817057463707902,-0.6940769037685657,1.496004271231843,0.8098193355133358,1,0,0,Loyal Customers
12361.0,287,1,174.9,3,111,Lost Customers,-2.0395277547452992,1.0841493809967426,-0.0584724907502096,-3.5631907777888085,-1.0730212536880104,2,0,2,Lost Customers
12362.0,3,10,4098.9400000000005,12,444,Champions,2.503017894382173,0.3924372617892724,-0.060903186580579,4.011428989052676,-0.4750342608174318,3,0,0,Champions
12363.0,110,2,484.5,7,223,Loyal Customers,-0.2876352470860127,0.0466352771335143,-0.2409999447237186,-0.4790636244071463,0.2866697509571917,0,0,3,At Risk
